station_id,mapped_integer
1934290380966283526,1
759171ce-f355-4740-948d-e14bb8f7dc0e,2
a3b10a40-a135-11e9-9cda-0a87ae2ba916,3
430d5876-c44d-446e-ac53-065da9fb9c17,4
a3b23785-a135-11e9-9cda-0a87ae2ba916,5
a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,6
a3b24701-a135-11e9-9cda-0a87ae2ba916,7
a3a6c38e-a135-11e9-9cda-0a87ae2ba916,8
a3a5d3bb-a135-11e9-9cda-0a87ae2ba916,9
a3aaa68b-a135-11e9-9cda-0a87ae2ba916,10
a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,11
a3a80512-a135-11e9-9cda-0a87ae2ba916,12
a3ac35ed-a135-11e9-9cda-0a87ae2ba916,13
a3b13836-a135-11e9-9cda-0a87ae2ba916,14
a3ab9119-a135-11e9-9cda-0a87ae2ba916,15
732c9f35-0c82-4128-acc3-2cf447298b1d,16
a3a52df5-a135-11e9-9cda-0a87ae2ba916,17
a3b48c07-a135-11e9-9cda-0a87ae2ba916,18
a3addda0-a135-11e9-9cda-0a87ae2ba916,19
a3ad95a7-a135-11e9-9cda-0a87ae2ba916,20
a3aa4017-a135-11e9-9cda-0a87ae2ba916,21
1869054242749504212,22
a3a82c6c-a135-11e9-9cda-0a87ae2ba916,23
a3af2c5f-a135-11e9-9cda-0a87ae2ba916,24
a3af460f-a135-11e9-9cda-0a87ae2ba916,25
a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,26
1929905600854819414,27
a3b00b3a-a135-11e9-9cda-0a87ae2ba916,28
1928792940289520096,29
a3b477ac-a135-11e9-9cda-0a87ae2ba916,30
1934289361049585738,31
a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,32
a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,33
a3a96aca-a135-11e9-9cda-0a87ae2ba916,34
a3a9f76a-a135-11e9-9cda-0a87ae2ba916,35
a3b47cbc-a135-11e9-9cda-0a87ae2ba916,36
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,37
a3af52bc-a135-11e9-9cda-0a87ae2ba916,38
a3b23cb8-a135-11e9-9cda-0a87ae2ba916,39
a3a83ba1-a135-11e9-9cda-0a87ae2ba916,40
1929538112769137066,41
1882466626513795782,42
