altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,10,4,Chicago,30,True,True,Chicago,2024-04-14 15:27:09,41.979851,Chicago,-87.681932,60602,Chicago,Chicago,Hoyne Ave & Balmoral Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,7,8,Chicago,31,True,False,Chicago,2024-04-14 15:27:09,41.828098,Chicago,-87.694684,60602,Chicago,Chicago,California Ave & 36th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,12,2,Chicago,32,True,True,Chicago,2024-04-14 15:27:09,41.81409271048,Chicago,-87.5970051479,60602,Chicago,Chicago,Woodlawn Ave & Lake Park Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,5,5,Chicago,33,True,True,Chicago,2024-04-14 15:27:10,41.85377981072743,Chicago,-87.6466029882431,60602,Chicago,Chicago,Halsted St & 21st St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,1,7,Chicago,34,True,True,Chicago,2024-04-14 15:27:11,41.827059,Chicago,-87.64572,60602,Chicago,Chicago,Halsted St & 37th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,13,1,Chicago,35,True,True,Chicago,2024-04-14 15:27:08,41.921525,Chicago,-87.707322,60602,Chicago,Chicago,Kedzie Ave & Palmer Ct,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,2,Chicago,36,True,True,Chicago,2024-04-14 15:27:11,41.885951,Chicago,-87.677009,60602,Chicago,Chicago,Damen Ave & Walnut (Lake) St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,4,Chicago,37,True,True,Chicago,2024-04-14 15:27:12,41.88137,Chicago,-87.67493,60602,Chicago,Chicago,Damen Ave & Madison St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,6,15,Chicago,38,True,True,Chicago,2024-04-14 15:27:14,41.9716,Chicago,-87.650154,60602,Chicago,Chicago,Marine Dr & Ainslie St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,3,8,Chicago,39,True,True,Chicago,2024-04-14 15:27:08,41.775393,Chicago,-87.654308,60602,Chicago,Chicago,Racine Ave & 65th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,10,9,Chicago,40,True,True,Chicago,2024-04-14 15:27:19,41.92105672992757,Chicago,-87.67279744148254,60602,Chicago,Chicago,Wood St & Webster Ave,IN_SERVICE,1,IN_SERVICE,False,19
0.0,7,8,Chicago,41,True,True,Chicago,2024-04-14 15:27:19,41.990388766916915,Chicago,-87.71513782579095,60602,Chicago,Chicago,Bernard St & Peterson Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,12,2,Chicago,42,True,True,Chicago,2024-04-14 15:27:16,41.974323,Chicago,-87.7331,60602,Chicago,Chicago,Keeler Ave & Carmen Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,0,Chicago,43,False,False,Chicago,1970-01-01 18:00:00,41.8389124,Chicago,-87.7168955,60602,Chicago,Chicago,Lawndale Ave & 30th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,0,Chicago,44,False,True,Chicago,1970-01-01 18:00:00,41.805661,Chicago,-87.683392,60602,Chicago,Chicago,Western Blvd & 48th Pl,IN_SERVICE,1,IN_SERVICE,False,11
0.0,7,7,Chicago,45,True,True,Chicago,2024-04-14 15:26:29,41.7218499,Chicago,-87.6228544,60602,Chicago,Chicago,State St & 95th St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,0,15,Chicago,46,True,True,Chicago,2024-04-14 15:26:29,41.892048,Chicago,-87.689397,60602,Chicago,Chicago,Smith Park,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,4,Chicago,47,True,True,Chicago,2024-04-14 15:26:32,41.822985,Chicago,-87.6071,60602,Chicago,Chicago,Cottage Grove Ave & Oakwood Blvd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,6,Chicago,48,True,True,Chicago,2024-04-14 15:26:32,41.952372,Chicago,-87.677296,60602,Chicago,Chicago,Lincoln Ave & Byron St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,3,8,Chicago,49,True,True,Chicago,2024-04-14 15:26:33,41.787539,Chicago,-87.644874,60602,Chicago,Chicago,Halsted St & 59th St,IN_SERVICE,1,IN_SERVICE,False,11
0.0,12,6,Chicago,50,True,True,Chicago,2024-04-14 15:26:33,41.95469,Chicago,-87.67393,60602,Chicago,Chicago,Ravenswood Ave & Irving Park Rd,IN_SERVICE,1,IN_SERVICE,False,19
