station_id,mapped_integer
1933998036428004326,1
a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,2
1934289944388426278,3
a3b419d9-a135-11e9-9cda-0a87ae2ba916,4
a3a72012-a135-11e9-9cda-0a87ae2ba916,5
a3b2862e-a135-11e9-9cda-0a87ae2ba916,6
a3a99d47-a135-11e9-9cda-0a87ae2ba916,7
da9e6779-5056-4d45-bae3-9dc325ed2807,8
1869054242749504212,9
a3ac3b03-a135-11e9-9cda-0a87ae2ba916,10
a3ac7e9a-a135-11e9-9cda-0a87ae2ba916,11
a3a547b8-a135-11e9-9cda-0a87ae2ba916,12
a3b20960-a135-11e9-9cda-0a87ae2ba916,13
a3b22d3d-a135-11e9-9cda-0a87ae2ba916,14
a3b13836-a135-11e9-9cda-0a87ae2ba916,15
a3a497b6-a135-11e9-9cda-0a87ae2ba916,16
1929538112769137066,17
a3aa4017-a135-11e9-9cda-0a87ae2ba916,18
a3b48c07-a135-11e9-9cda-0a87ae2ba916,19
a3ac35ed-a135-11e9-9cda-0a87ae2ba916,20
f0f9f5dc-3d3f-4a32-aa3e-b87566e44de9,21
a3a52df5-a135-11e9-9cda-0a87ae2ba916,22
732c9f35-0c82-4128-acc3-2cf447298b1d,23
1934290380966283526,24
a3a82c6c-a135-11e9-9cda-0a87ae2ba916,25
1929905600854819414,26
a3b00b3a-a135-11e9-9cda-0a87ae2ba916,27
a3aabad8-a135-11e9-9cda-0a87ae2ba916,28
a3af2737-a135-11e9-9cda-0a87ae2ba916,29
a3addda0-a135-11e9-9cda-0a87ae2ba916,30
a3ad4d1b-a135-11e9-9cda-0a87ae2ba916,31
a3a9f76a-a135-11e9-9cda-0a87ae2ba916,32
a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,33
a3a96aca-a135-11e9-9cda-0a87ae2ba916,34
a3a76cb6-a135-11e9-9cda-0a87ae2ba916,35
a3b23cb8-a135-11e9-9cda-0a87ae2ba916,36
a3afbe2e-a135-11e9-9cda-0a87ae2ba916,37
1882466626513795782,38
1931696364106218226,39
1928792940289520096,40
